index,name,type1,type2,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation,Smogon_VGC_Usage_2022,Smogon_VGC_Usage_2023,Smogon_VGC_Usage_2024,Worlds_VGC_Usage_2022,Worlds_VGC_Usage_2023,Worlds_VGC_Usage_2024
242,blissey,normal   ,No_type,natural-cure,serene-grace,healer,255,10,10,75,135,55,540,False,False,generation-ii,0.00243,0.00559,0.00862,NoUsage,NoUsage,NoUsage
243,raikou,electric,  NO_TYPE ,pressure   ,None,inner-focus   ,90,85,75,115,100,115,580,True,False,generation -   ii,0.15819,NoUsage,0.15887,0.19,NoUsage,NoUsage
244,entei   ,fire,no_type   ,pressure,null   ,inner-focus,115,115,85,90,75,100,580,True,False,generation-ii,1.32902,NoUsage,12.61883,0.58,NoUsage,NoUsage
245,suicune,  WATER ,No_type,  PRESSURE ,  NONE ,inner-focus,100,75,115,90,115,85,580,True,False,generation-ii,1.45767,NoUsage,0.66491,0.46,NoUsage,zero
246,larvitar,rock,ground,  GUTS ,NULL,sand-veil,50,64,50,45,50,41,300,False,False,generation-ii,0.0,no usage,0.0,NoUsage,NoUsage,N/A
247,pupitar,rock,ground,shed-skin   ,sem_habilidade,None ,70,84,70,65,70,51,410,False,False,generation-ii,0.0,NULL,0.0,NoUsage,NoUsage,NoUsage
248,  TYRANITAR ,rock,dark,sand-stream,No_ability,unnerve,100,134,110,95,100,61,600,False,False,generation -   ii,0.09196,5.91237,1.83539,0.23,1.01,5.43
248,tyranitar-mega,rock,dark,sand-stream   ,null   ,None ,100,164,150,95,120,71,700,False,False,generation-ii,N/A,NULL,NoUsage,no usage,NoUsage,NULL
249,  LUGIA ,psychic,  FLYING ,pressure   ,   ,multiscale,106,90,130,90,154,110,680,True,False,generation-ii,0.62118,NoUsage,0.26919,0.42,no usage,   
250,ho-oh,fire,flying   ,pressure,no-ability,regenerator,106,130,90,110,154,90,680,True,False,GEN_ii,1.36268,NoUsage,0.68097,0.42,NO,NoUsage
251,celebi,psychic,grass,natural-cure,No_ability,  NONE  ,100,100,100,100,100,100,600,False,True,generation-ii,zero,NoUsage,NoUsage,NoUsage,NO,NoUsage
252,treecko   ,grass,No_type,overgrow,   ,unburden   ,40,45,35,65,55,70,310,False,False,GEN_iii,0.0,none,0.0,NoUsage,NoUsage,N/A
253,grovyle,grass,  NO_TYPE ,overgrow,no_ability   ,unburden   ,50,65,45,85,65,95,405,False,False,generation-iii,NULL,NoUsage,NULL,NoUsage,NoUsage,NoUsage
254,sceptile,grass,no_type   ,overgrow,no-ability,unburden,70,85,65,105,85,120,530,False,False,GERAÇAO-III,0.00277,no usage,0.10106,NoUsage,no usage,no usage
254,sceptile-mega,grass,dragon,lightning-rod,      ,None ,70,110,75,145,85,145,630,False,False,generation-iii,NoUsage,NoUsage,zero,NoUsage,N/A,NoUsage
255,torchic,fire,No_type,  BLAZE ,  NO-ABILITY ,speed-boost,45,60,40,70,50,45,310,False,False,generation-iii,zero,NoUsage,0.0,NoUsage,NoUsage,   
256,combusken,fire   ,fighting,  BLAZE ,NULL,speed-boost,60,85,60,85,60,55,405,False,False,generation-iii,zero,NoUsage,no usage,NoUsage,NoUsage,NoUsage
257,blaziken,fire,fighting,blaze,N/A,speed-boost,80,120,70,110,70,80,530,False,False,generation-iii,0.00474,N/A,0.12005,NoUsage,NoUsage,0.6
257,  BLAZIKEN-MEGA ,fire,fighting,speed-boost,n/a   ,none    ,80,160,80,130,80,100,630,False,False,generation -   iii,NoUsage,none,NoUsage,no usage,none,NoUsage
258,mudkip,water   ,No_type,torrent,No_ability,  DAMP ,50,70,50,50,50,40,310,False,False,generation-iii,0.0,NoUsage,0.0,0.04,NoUsage,NoUsage
259,marshtomp,water,ground,torrent,no-ability,damp   ,70,85,70,60,70,50,405,False,False,generation -   iii,0.0,zero,0.0,NoUsage,NoUsage,no usage
260,swampert,  WATER ,ground,torrent,   ,damp,100,110,90,85,90,60,535,False,False,GERAÇAO-III,0.05529,NoUsage,0.03132,zero,NoUsage,NoUsage
260,swampert-mega,water,ground,swift-swim   ,NULL,none    ,100,150,110,95,110,70,635,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NO,NO,NoUsage
261,poochyena,dark,No_type,run-away,  QUICK-FEET ,rattled,35,55,35,30,30,35,220,False,False,generation-iii,NoUsage,0.0,N/A,NoUsage,NoUsage,NO
262,mightyena,dark,No_type,intimidate   ,quick-feet,  MOXIE ,70,90,70,60,60,70,420,False,False,generation-iii,NoUsage,0.00347,1e-05,no usage,NoUsage,0.04
263,zigzagoon,normal,no_type   ,  PICKUP ,  GLUTTONY ,quick-feet,38,30,41,30,41,60,240,False,False,generation -   iii,0.0,zero,NoUsage,NoUsage,NoUsage,NoUsage
263,zigzagoon-galar   ,dark,normal,pickup,gluttony,quick-feet   ,38,30,41,30,41,60,240,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,no usage,NoUsage
264,  LINOONE ,  NORMAL ,No_type,pickup,gluttony,quick-feet,78,70,61,50,61,100,420,False,False,GERAÇAO-III,zero,NoUsage,zero,NoUsage,N/A,zero
264,  LINOONE-GALAR ,dark,normal,pickup,gluttony,quick-feet,78,70,61,50,61,100,420,False,False,generation-iii,0.0,no usage,NoUsage,NoUsage,N/A,NoUsage
265,wurmple,  BUG ,  NO_TYPE ,shield-dust,   ,run-away,45,45,35,20,30,20,195,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NO
266,  SILCOON ,bug,  NO_TYPE ,shed-skin,  NONE ,none    ,50,35,55,25,25,15,205,False,False,GERAÇAO-III,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
267,beautifly,bug,flying,swarm   ,No_ability,rivalry,60,70,50,100,50,65,395,False,False,generation-iii,   ,zero,NoUsage,NoUsage,NoUsage,NoUsage
268,cascoon,bug,No_type,shed-skin,N/A,None ,50,35,55,25,25,15,205,False,False,GERAÇAO-III,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
269,dustox,bug,poison,shield-dust,No_ability,compound-eyes,60,50,70,50,90,65,385,False,False,GERAÇAO-III,NoUsage,NoUsage,NoUsage,NoUsage,NO,NoUsage
270,lotad,water,grass   ,swift-swim,rain-dish,own-tempo   ,40,30,30,40,50,30,220,False,False,generation-iii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage
271,lombre,water,grass,swift-swim   ,rain-dish,own-tempo   ,60,50,50,60,70,50,340,False,False,GERAÇAO-III,0.0,0.0,none,NO,NoUsage,N/A
272,ludicolo,water,grass,swift-swim,rain-dish,own-tempo,80,70,70,90,100,70,480,False,False,GEN_iii,0.33429,0.53027,0.06202,zero,0.06,NO
273,seedot,grass,no_type   ,chlorophyll,  EARLY-BIRD ,pickpocket,40,40,50,30,30,30,220,False,False,generation-iii,0.0,NO,NULL,NoUsage,NoUsage,no usage
274,nuzleaf,grass,dark,chlorophyll,early-bird,pickpocket   ,70,70,40,60,40,60,340,False,False,generation-iii,0.0,0.0,none,N/A,NoUsage,-
275,shiftry,grass,dark,chlorophyll,wind-rider,  PICKPOCKET ,90,100,60,90,60,80,480,False,False,generation-iii,0.00936,0.91003,0.0761,NoUsage,0.32,0.05
276,taillow,  NORMAL ,flying,guts,N/A,scrappy,40,55,30,30,30,85,270,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,zero,NoUsage
277,swellow,normal,flying,guts,  NO-ABILITY ,scrappy,60,85,60,75,50,125,455,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,   ,none
278,wingull,  WATER ,flying,keen-eye,hydration,rain-dish,40,30,30,55,30,85,270,False,False,generation-iii,N/A,zero,0.0,NoUsage,NoUsage,none
279,pelipper,water,flying,keen-eye,drizzle,rain-dish,60,50,100,95,70,65,440,False,False,generation-iii,0.12019,5.51125,3.96501,NoUsage,1.06,19.51
280,ralts,psychic,fairy,  SYNCHRONIZE ,trace,telepathy,28,25,25,45,35,40,198,False,False,GEN_iii,0.0,NO,NULL,NULL,NoUsage,NoUsage
281,kirlia,psychic,fairy,synchronize,  TRACE ,telepathy,38,35,35,65,55,50,278,False,False,GEN_iii,0.0,-,zero,NoUsage,NoUsage,N/A
282,gardevoir,psychic,fairy,  SYNCHRONIZE ,trace,telepathy,68,65,65,125,115,80,518,False,False,generation-iii,0.00658,0.64392,0.03996,NO,NO,0.32
282,  GARDEVOIR-MEGA ,psychic,fairy,pixilate,no-ability,None ,68,85,65,165,135,100,618,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
283,surskit,bug,water,swift-swim,No_ability,rain-dish,40,30,32,50,52,65,269,False,False,GERAÇAO-III,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage
284,masquerain,bug,  FLYING ,intimidate,no_ability   ,unnerve,70,60,62,100,82,80,454,False,False,generation-iii,NoUsage,0.01418,0.00334,NoUsage,NoUsage,NULL
285,shroomish,  GRASS ,  NO_TYPE ,effect-spore   ,poison-heal,quick-feet,60,40,60,40,60,35,295,False,False,generation-iii,NULL,0.0,0.0,NoUsage,NoUsage,NoUsage
286,breloom,grass   ,fighting,  EFFECT-SPORE ,  POISON-HEAL ,  TECHNICIAN ,60,130,80,60,60,70,460,False,False,generation-iii,NoUsage,0.70696,0.04988,NoUsage,0.04,0.23
287,slakoth,normal,No_type,truant,none,  NONE  ,60,60,60,35,35,30,280,False,False,generation-iii,NoUsage,NoUsage,NULL,NoUsage,NoUsage,NoUsage
288,vigoroth,normal,No_type,vital-spirit,  NONE ,None ,80,80,80,55,55,90,440,False,False,generation-iii,NoUsage,0.0,NoUsage,NoUsage,NO,-
289,slaking,normal,  NO_TYPE ,truant,None,None ,150,160,100,95,65,100,670,False,False,generation-iii,NoUsage,0.05882,0.02083,NoUsage,0.07,0.29
290,nincada,bug,  GROUND ,compound-eyes,No_ability,run-away   ,31,45,90,30,30,40,266,False,False,generation -   iii,-,NoUsage,NO,no usage,NoUsage,NO
291,ninjask   ,bug,  FLYING ,speed-boost,None,infiltrator,61,90,45,50,50,160,456,False,False,generation-iii,0.00493,-,NoUsage,NoUsage,NO,NoUsage
292,  SHEDINJA ,bug,ghost   ,  WONDER-GUARD ,none,None ,1,90,45,30,30,40,236,False,False,GEN_iii,0.65669,none,NoUsage,3.09,NoUsage,NoUsage
293,whismur,normal,no_type   ,soundproof,no-ability,rattled,64,51,23,51,23,28,240,False,False,generation-iii,0.0,NoUsage,NULL,NoUsage,N/A,NO
294,  LOUDRED ,normal,No_type,soundproof,no-ability,scrappy,84,71,43,71,43,48,360,False,False,generation-iii,0.0,NoUsage,NoUsage,no usage,NULL,NoUsage
295,exploud,normal,No_type,soundproof,  NULL ,scrappy,104,91,63,91,73,68,490,False,False,generation-iii,0.0006,N/A,NoUsage,NoUsage,NoUsage,NoUsage
296,makuhita,fighting,No_type,thick-fat,guts,sheer-force   ,72,60,30,20,30,25,237,False,False,generation-iii,NO,NoUsage,0.0,NoUsage,   ,NoUsage
297,hariyama,  FIGHTING ,  NO_TYPE ,thick-fat   ,guts,sheer-force,144,120,60,40,60,50,474,False,False,generation-iii,no usage,1.18322,0.06518,NULL,zero,0.11
298,azurill,normal,fairy,thick-fat,huge-power,  SAP-SIPPER ,50,20,40,20,40,20,190,False,False,generation-iii,0.0,NO,-,zero,zero,NoUsage
299,nosepass,rock,No_type,sturdy,magnet-pull,  SAND-FORCE ,30,45,135,45,90,30,375,False,False,generation-iii,zero,0.00011,0.0,N/A,NoUsage,NoUsage
300,skitty,normal,No_type,cute-charm,normalize,wonder-skin   ,50,45,45,35,35,50,260,False,False,generation -   iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
301,delcatty,normal,  NO_TYPE ,cute-charm,normalize,wonder-skin,70,65,65,55,55,90,400,False,False,generation -   iii,   ,-,NoUsage,NoUsage,NoUsage,NoUsage
302,sableye,dark,ghost   ,keen-eye,stall   ,prankster,50,75,75,65,65,50,380,False,False,generation-iii,0.9337,2.27836,0.34594,1.18,0.06,0.31
302,sableye-mega,dark   ,ghost,magic-bounce,none,None ,50,85,125,85,115,20,480,False,False,generation-iii,NoUsage,NoUsage,N/A,-,NoUsage,NoUsage
303,mawile,steel,fairy,hyper-cutter,intimidate,sheer-force,50,85,85,55,55,50,380,False,False,generation-iii,0.0,N/A,NoUsage,NoUsage,NoUsage,NoUsage
303,mawile-mega,steel,fairy,huge-power,   ,None ,50,105,125,55,95,50,480,False,False,GERAÇAO-III,NoUsage,none,NoUsage,NoUsage,NoUsage,NoUsage
304,aron,steel,rock,sturdy,rock-head,heavy-metal,50,70,100,40,40,30,330,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NULL
305,  LAIRON ,steel,rock,  STURDY ,rock-head,heavy-metal   ,60,90,140,50,50,40,430,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,   ,   
306,aggron,steel,rock,sturdy,rock-head,heavy-metal,70,110,180,60,60,50,530,False,False,generation-iii,0.00191,NoUsage,NO,0.08,NoUsage,NoUsage
306,aggron-mega,steel   ,No_type,filter,  SEM_HABILIDADE ,  NONE  ,70,140,230,60,80,50,630,False,False,generation-iii,NoUsage,N/A,NoUsage,NoUsage,NoUsage,NoUsage
307,meditite,fighting,psychic,pure-power,      ,  TELEPATHY ,30,40,55,40,55,60,280,False,False,generation-iii,NoUsage,0.0,-,NoUsage,NoUsage,NoUsage
308,medicham,fighting,psychic,pure-power,sem_habilidade,telepathy,60,60,75,60,75,80,410,False,False,GERAÇAO-III,NoUsage,0.13938,0.03728,NoUsage,no usage,NoUsage
308,medicham-mega   ,fighting,psychic,pure-power   ,No_ability,none    ,60,100,85,80,85,100,510,False,False,generation-iii,none,NoUsage,NoUsage,NoUsage,NoUsage,NO
309,electrike,electric,No_type,static,lightning-rod,minus,40,45,40,65,40,65,295,False,False,generation-iii,N/A,NoUsage,no usage,NoUsage,NoUsage,NoUsage
310,manectric   ,electric   ,No_type,static,lightning-rod,  MINUS ,70,75,60,105,60,105,475,False,False,generation -   iii,no usage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
310,manectric-mega,electric,No_type,intimidate,no-ability,  NONE  ,70,75,80,135,80,135,575,False,False,generation-iii,N/A,NO,NoUsage,NoUsage,NoUsage,-
311,plusle,electric,No_type,plus,sem_habilidade   ,lightning-rod,60,50,40,85,75,95,405,False,False,generation-iii,no usage,NoUsage,0.00076,NoUsage,NoUsage,NoUsage
312,minun,electric,No_type,minus,no-ability,volt-absorb,60,40,50,75,85,95,405,False,False,GEN_iii,NoUsage,NoUsage,1e-05,NoUsage,none,NoUsage
313,  VOLBEAT ,bug,No_type,illuminate,swarm,prankster,65,73,75,47,85,85,430,False,False,generation-iii,NoUsage,0.10653,0.03474,NoUsage,NoUsage,0.09
314,illumise,  BUG ,No_type,oblivious,  TINTED-LENS ,prankster,65,47,75,73,85,85,430,False,False,generation-iii,no usage,0.41323,0.01111,none,0.26,0.07
315,roselia,grass   ,poison,natural-cure,poison-point,  LEAF-GUARD ,50,60,45,100,80,65,400,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
316,  GULPIN ,  POISON ,  NO_TYPE ,liquid-ooze,sticky-hold,gluttony,70,43,53,43,53,40,302,False,False,generation-iii,-,0.0,0.0,NoUsage,NoUsage,NoUsage
317,swalot,poison,no_type   ,liquid-ooze   ,  STICKY-HOLD ,gluttony,100,73,83,73,83,55,467,False,False,generation-iii,no usage,none,0.0,N/A,no usage,zero
318,carvanha,water,dark,rough-skin,   ,speed-boost,45,90,20,65,20,65,305,False,False,generation -   iii,0.0,NoUsage,NoUsage,no usage,none,NoUsage
319,sharpedo,water,dark,rough-skin,null   ,speed-boost,70,120,40,95,40,95,460,False,False,generation-iii,NO,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
319,sharpedo-mega,water,dark,strong-jaw   ,N/A,None ,70,140,70,110,65,105,560,False,False,GEN_iii,NoUsage,NULL,NoUsage,zero,NoUsage,NoUsage
320,wailmer,water,No_type,water-veil   ,oblivious,pressure,130,70,35,70,35,60,400,False,False,generation-iii,0.0,   ,NoUsage,NoUsage,NoUsage,none
321,  WAILORD ,water,No_type,  WATER-VEIL ,oblivious   ,pressure,170,90,45,90,45,60,500,False,False,GEN_iii,none,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
322,numel,fire,ground,oblivious,simple,own-tempo,60,60,40,65,45,35,305,False,False,GEN_iii,NoUsage,0.0,1e-05,NoUsage,NoUsage,no usage
323,  CAMERUPT ,fire,ground   ,  MAGMA-ARMOR ,solid-rock,anger-point   ,70,100,70,105,75,40,460,False,False,generation-iii,NoUsage,0.01802,0.00746,NoUsage,0.04,NoUsage
323,camerupt-mega,fire,ground,sheer-force,No_ability,None ,70,120,100,145,105,20,560,False,False,GEN_iii,none,NO,NoUsage,NoUsage,no usage,N/A
324,torkoal,fire   ,No_type,white-smoke   ,drought,shell-armor,70,85,140,85,70,20,470,False,False,generation -   iii,3.17307,14.95923,5.22535,2.11,5.24,7.84
325,  SPOINK ,psychic,No_type,thick-fat   ,own-tempo,gluttony,60,25,35,70,80,60,330,False,False,generation-iii,NoUsage,0.0,-,NoUsage,NoUsage,NoUsage
326,grumpig,psychic,no_type   ,thick-fat,own-tempo,gluttony,80,45,65,90,110,80,470,False,False,generation-iii,zero,0.0006,0.00121,NoUsage,NoUsage,NoUsage
327,spinda,normal,No_type,own-tempo   ,  TANGLED-FEET ,contrary,60,60,60,60,60,60,360,False,False,GEN_iii,NoUsage,no usage,NoUsage,none,   ,NoUsage
328,trapinch,ground,no_type   ,hyper-cutter   ,arena-trap,sheer-force,45,100,45,45,45,10,290,False,False,generation -   iii,   ,NO,0.00218,0.1,NoUsage,0.04
329,vibrava,ground,dragon,  LEVITATE ,sem_habilidade,None ,50,70,50,50,50,70,340,False,False,GEN_iii,   ,N/A,0.0,NoUsage,NoUsage,NoUsage
330,flygon   ,ground,dragon,levitate,   ,None ,80,100,80,80,80,100,520,False,False,generation-iii,NO,NoUsage,0.00894,NoUsage,NoUsage,NoUsage
331,cacnea,grass,No_type,sand-veil,  NONE ,water-absorb,50,85,40,85,40,35,335,False,False,generation-iii,NULL,NO,zero,NoUsage,NoUsage,NoUsage
332,cacturne   ,grass,dark,sand-veil,N/A,water-absorb,70,115,60,115,60,55,475,False,False,generation-iii,NoUsage,0.00493,0.00021,NoUsage,NoUsage,NoUsage
333,swablu,normal,  FLYING ,natural-cure,  NULL ,cloud-nine,45,40,60,40,75,50,310,False,False,generation-iii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage
334,altaria,dragon,flying,natural-cure,sem_habilidade,cloud-nine,75,70,90,70,105,80,490,False,False,generation-iii,0.00028,0.0406,0.00669,none,NoUsage,NO
334,altaria-mega,dragon   ,  FAIRY ,pixilate,   ,none    ,75,110,110,110,105,80,590,False,False,generation-iii,zero,none,   ,NoUsage,NoUsage,NoUsage
335,zangoose   ,normal,No_type,immunity,None,toxic-boost,73,115,60,60,60,90,458,False,False,GEN_iii,NoUsage,0.00043,2e-05,NoUsage,NoUsage,NULL
336,seviper,poison,  NO_TYPE ,shed-skin   ,no-ability   ,infiltrator,73,100,60,100,60,65,458,False,False,generation -   iii,NoUsage,0.0,none,NoUsage,NoUsage,NO
337,lunatone,rock,psychic,levitate   ,No_ability,none    ,90,55,65,95,85,70,460,False,False,GERAÇAO-III,no usage,NoUsage,NO,NULL,N/A,NoUsage
338,solrock,rock,psychic,levitate   ,   ,None ,90,95,85,55,65,70,460,False,False,generation-iii,no usage,NoUsage,NoUsage,   ,zero,-
339,barboach   ,water,ground,oblivious,anticipation,hydration,50,48,43,46,41,60,288,False,False,GEN_iii,   ,0.0,0.0,NoUsage,NoUsage,NoUsage
340,  WHISCASH ,water,ground,  OBLIVIOUS ,anticipation,  HYDRATION ,110,78,73,76,71,60,468,False,False,generation-iii,-,0.0,6e-05,N/A,none,NO
341,corphish,water,No_type,hyper-cutter,shell-armor,adaptability,43,80,65,50,35,35,308,False,False,generation -   iii,0.0,0.0,0.0,NoUsage,NoUsage,no usage
342,crawdaunt,water,dark,  HYPER-CUTTER ,shell-armor,adaptability,63,120,85,90,55,55,468,False,False,generation-iii,0.00593,0.06258,0.01103,NoUsage,NoUsage,NoUsage
343,baltoy   ,ground,psychic,levitate,  NONE ,None ,40,40,55,40,70,55,300,False,False,generation-iii,NO,NoUsage,NoUsage,NoUsage,NoUsage,-
344,claydol,ground,psychic,levitate,sem_habilidade   ,None ,60,70,105,70,120,75,500,False,False,generation-iii,5e-05,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
345,lileep   ,rock,grass,  SUCTION-CUPS ,None,storm-drain,66,41,77,61,87,23,355,False,False,generation-iii,0.0,-,   ,NoUsage,NoUsage,NoUsage
346,cradily,rock,grass,  SUCTION-CUPS ,None,storm-drain,86,81,97,81,107,43,495,False,False,generation-iii,0.02295,NoUsage,NoUsage,0.04,NoUsage,none
347,anorith   ,rock,bug,battle-armor,no-ability,swift-swim,45,95,50,40,50,75,355,False,False,generation-iii,0.0,none,NULL,   ,NoUsage,NoUsage
348,armaldo,  ROCK ,bug,  BATTLE-ARMOR ,   ,swift-swim,75,125,100,70,80,45,495,False,False,generation-iii,0.0008,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
349,  FEEBAS ,water,No_type,swift-swim,oblivious,adaptability,20,15,20,10,55,80,200,False,False,generation-iii,no usage,0.0,0.0,NoUsage,NoUsage,NoUsage
350,milotic,water   ,No_type,marvel-scale,competitive,cute-charm,95,60,79,100,125,81,540,False,False,generation-iii,0.41164,4.16544,0.55265,0.14,2.54,0.38
351,castform,normal   ,no_type   ,forecast,None,None ,70,70,70,70,70,70,420,False,False,generation -   iii,zero,NoUsage,-,none,NoUsage,none
351,  CASTFORM-SUNNY ,fire,no_type   ,forecast,N/A,  NONE  ,70,70,70,70,70,70,420,False,False,generation-iii,NULL,-,NoUsage,no usage,NoUsage,NO
351,castform-rainy,water,No_type,forecast,None,None ,70,70,70,70,70,70,420,False,False,generation-iii,NoUsage,no usage,none,   ,NoUsage,NoUsage
351,castform-snowy,  ICE ,  NO_TYPE ,forecast,  NO_ABILITY ,None ,70,70,70,70,70,70,420,False,False,generation -   iii,NoUsage,none,NoUsage,NoUsage,NoUsage,NoUsage
352,kecleon,normal,No_type,  COLOR-CHANGE ,  NONE ,protean,60,90,70,60,120,40,440,False,False,generation-iii,NO,NoUsage,NO,zero,-,NoUsage
353,shuppet,ghost,No_type,insomnia,frisk,cursed-body,44,75,35,63,33,45,295,False,False,generation-iii,NoUsage,0.0,0.0,N/A,NoUsage,NULL
354,banette,ghost,No_type,insomnia,frisk,cursed-body,64,115,65,83,63,65,455,False,False,generation-iii,NoUsage,0.00069,7e-05,NoUsage,NoUsage,NoUsage
354,banette-mega,ghost   ,No_type,prankster,  N/A ,None ,64,165,75,93,83,75,555,False,False,GEN_iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
355,duskull,ghost   ,no_type   ,levitate,none,frisk,20,40,90,30,90,25,295,False,False,generation-iii,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage
356,dusclops   ,ghost,No_type,pressure,      ,frisk,40,70,130,60,130,25,455,False,False,generation-iii,3.16546,1.47095,0.52334,0.35,3.68,0.38
357,  TROPIUS ,grass,  FLYING ,chlorophyll,solar-power,harvest,99,68,83,72,87,51,460,False,False,generation-iii,none,0.05184,0.00319,-,NoUsage,NoUsage
358,chimecho,psychic,No_type,levitate,      ,None ,75,50,80,95,90,65,455,False,False,generation-iii,NoUsage,0.00405,1e-05,NoUsage,NoUsage,NoUsage
359,absol   ,dark,No_type,pressure   ,super-luck   ,justified,65,130,60,75,60,75,465,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,   
359,absol-mega   ,dark,No_type,  MAGIC-BOUNCE ,  NONE ,None ,65,150,60,115,60,115,565,False,False,generation-iii,NULL,none,NoUsage,NoUsage,NoUsage,NoUsage
360,wynaut,psychic,No_type,shadow-tag   ,   ,telepathy,95,23,48,23,48,23,260,False,False,generation-iii,N/A,-,NoUsage,NoUsage,NoUsage,NoUsage
361,  SNORUNT ,ice,no_type   ,inner-focus,ice-body,moody,50,50,50,50,50,50,300,False,False,GERAÇAO-III,0.0,0.0,0.0,NO,NoUsage,NoUsage
362,glalie,ice,No_type,inner-focus,ice-body   ,moody,80,80,80,80,80,80,480,False,False,generation-iii,0.0,0.0183,0.00014,NoUsage,zero,NoUsage
362,glalie-mega,ice   ,No_type,refrigerate   ,No_ability,  NONE  ,80,120,80,120,80,100,580,False,False,generation-iii,NoUsage,NULL,none,zero,NoUsage,NoUsage
363,spheal,ice,water,thick-fat,ice-body,oblivious   ,70,40,50,55,50,25,290,False,False,generation-iii,   ,NoUsage,NoUsage,NoUsage,none,NoUsage
364,sealeo,ice,water,thick-fat,ice-body,oblivious,90,60,70,75,70,45,410,False,False,generation-iii,0.0,NoUsage,   ,NoUsage,   ,NoUsage
365,walrein,ice,water,thick-fat   ,ice-body,oblivious,110,80,90,95,90,65,530,False,False,generation-iii,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
366,clamperl,water,no_type   ,shell-armor,  NO-ABILITY ,rattled,35,64,85,74,55,32,345,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,zero,-
367,huntail,water   ,  NO_TYPE ,swift-swim,No_ability,water-veil,55,104,105,94,75,52,485,False,False,GEN_iii,NoUsage,NoUsage,NoUsage,NoUsage,no usage,-
368,gorebyss,water   ,No_type,swift-swim,no-ability,hydration,55,84,105,114,75,52,485,False,False,GERAÇAO-III,NoUsage,NoUsage,-,NoUsage,NoUsage,NoUsage
369,relicanth,  WATER ,rock,swift-swim,  ROCK-HEAD ,sturdy,100,90,130,45,65,55,485,False,False,generation-iii,NoUsage,NoUsage,N/A,NoUsage,   ,-
370,luvdisc,water,No_type,swift-swim   ,   ,hydration,43,30,55,40,65,97,330,False,False,generation -   iii,NoUsage,0.0,1e-05,NoUsage,NoUsage,zero
371,bagon,dragon,No_type,rock-head,sem_habilidade,  SHEER-FORCE ,45,75,60,40,30,50,300,False,False,generation -   iii,0.0,no usage,0.0,NO,-,NoUsage
372,  SHELGON ,  DRAGON ,No_type,rock-head   ,none   ,overcoat,65,95,100,60,50,50,420,False,False,generation-iii,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage
373,salamence,dragon,flying,  INTIMIDATE ,sem_habilidade,moxie,95,135,80,110,80,100,600,False,False,generation-iii,0.11024,0.91174,0.32471,0.14,1.06,1.82
373,salamence-mega,dragon,flying,  AERILATE ,sem_habilidade,None ,95,145,130,120,90,120,700,False,False,generation-iii,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
374,beldum,steel,psychic,clear-body,      ,light-metal,40,55,80,35,60,30,300,False,False,generation-iii,0.0,NoUsage,0.0,NoUsage,NoUsage,N/A
375,metang,steel   ,psychic,clear-body,NULL,light-metal,60,75,100,55,80,50,420,False,False,generation-iii,0.0,-,0.0,no usage,NoUsage,zero
376,metagross,steel   ,psychic,clear-body,none   ,light-metal,80,135,130,95,90,70,600,False,False,generation-iii,1.30383,-,3.47905,0.17,NULL,0.04
376,metagross-mega,steel,psychic,tough-claws,NULL,  NONE  ,80,145,150,105,110,110,700,False,False,generation-iii,none,NoUsage,NO,none,none,N/A
377,regirock,rock   ,No_type,clear-body,N/A,sturdy   ,80,100,200,50,100,50,580,True,False,generation-iii,0.00564,NoUsage,0.02914,NoUsage,NoUsage,no usage
